frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x820b3d47	0x820b3d47	1	b8:27:eb:3a:e2:c8	10.10.0.1	0.0.0.0
2	0.001143323	10.10.0.254	10.10.0.1	DHCP	DHCP Offer    - Transaction ID 0x820b3d47	0x820b3d47	2	b8:27:eb:3a:e2:c8		10.10.0.1
3	0.001462330	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x820b3d47	0x820b3d47	3	b8:27:eb:3a:e2:c8	10.10.0.1	0.0.0.0
4	0.008703304	10.10.0.254	10.10.0.1	DHCP	DHCP ACK      - Transaction ID 0x820b3d47	0x820b3d47	5	b8:27:eb:3a:e2:c8		10.10.0.1
5	0.048391787	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
6	2.048550871	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
7	4.048723653	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
8	5.159647730	b8:27:eb:ba:c7:ba	b8:27:eb:3a:e2:c8	ARP	Who has 10.10.0.1? Tell 10.10.0.254					
9	5.159751687	b8:27:eb:3a:e2:c8	b8:27:eb:ba:c7:ba	ARP	10.10.0.1 is at b8:27:eb:3a:e2:c8					
