frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
2	0.032484524	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x8b810b70	0x8b810b70	1	b8:27:eb:3a:e2:c8		0.0.0.0
3	0.193779859	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
4	0.372232031	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
5	0.383869278	::	ff02::1:ff3a:e2c8	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe3a:e2c8					
6	0.400727733	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x690bf851	0x690bf851	1	b8:27:eb:7d:e8:ee		0.0.0.0
7	0.580152293	::	ff02::1:ff7d:e8ee	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe7d:e8ee					
8	0.671874244	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
9	0.976084756	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
10	1.194399784	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
11	1.407939747	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
12	1.411486020	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 PTR _workstation._tcp.local PTR pi-foo-01 [b8:27:eb:3a:e2:c8]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-01.local AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8					
13	1.475858876	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
14	1.584515118	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
15	1.601000295	fe80::ba27:ebff:fe3a:e2c8	ff02::2	ICMPv6	Router Solicitation					
16	1.668159430	fe80::ba27:ebff:fe7d:e8ee	ff02::2	ICMPv6	Router Solicitation					
17	1.926716525	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 PTR pi-foo-02 [b8:27:eb:7d:e8:ee]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-02.local AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee					
18	2.076739932	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8 PTR, cache flush pi-foo-01.local SRV, cache flush 0 0 9 pi-foo-01.local					
19	2.198181907	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
20	2.202636506	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x655d	0x0000655d	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
21	2.288013828	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
22	2.567684507	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee PTR, cache flush pi-foo-02.local SRV, cache flush 0 0 9 pi-foo-02.local					
23	3.196154374	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
24	3.580928269	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 PTR _workstation._tcp.local PTR pi-foo-01 [b8:27:eb:3a:e2:c8]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-01.local AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8					
25	4.154055222	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 PTR pi-foo-02 [b8:27:eb:7d:e8:ee]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-02.local AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee					
26	4.196691282	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
27	4.245480626	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8 PTR, cache flush pi-foo-01.local SRV, cache flush 0 0 9 pi-foo-01.local					
28	4.337211653	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x8b810b70	0x8b810b70	1	b8:27:eb:3a:e2:c8		0.0.0.0
