frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0xb4459c64	0xb4459c64	1	b8:27:eb:3a:e2:c8		0.0.0.0
2	0.257012280	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x321fd758	0x321fd758	1	b8:27:eb:7d:e8:ee		0.0.0.0
3	2.053363604	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x6d84	0x00006d84	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
4	3.989552146	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0xb4459c64	0xb4459c64	1	b8:27:eb:3a:e2:c8		0.0.0.0
5	6.336023587	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x321fd758	0x321fd758	1	b8:27:eb:7d:e8:ee		0.0.0.0
6	7.054792874	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x7131	0x00007131	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
7	9.323457116	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x516f9323	0x516f9323	1	b8:27:eb:ba:c7:ba		0.0.0.0
8	11.199691290	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0xb4459c64	0xb4459c64	1	b8:27:eb:3a:e2:c8		0.0.0.0
9	12.022145873	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x30694d67	0x30694d67	1	b8:27:eb:7d:e8:ee		0.0.0.0
10	12.059172175	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x76a0	0x000076a0	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
11	12.071625299	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x9d30fe66	0x9d30fe66	1	b8:27:eb:3a:e2:c8		0.0.0.0
12	17.062809621	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x105b	0x0000105b	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
13	17.546908214	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x516f9323	0x516f9323	1	b8:27:eb:ba:c7:ba		0.0.0.0
14	18.587094970	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x30694d67	0x30694d67	1	b8:27:eb:7d:e8:ee		0.0.0.0
15	19.143050324	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x9d30fe66	0x9d30fe66	1	b8:27:eb:3a:e2:c8		0.0.0.0
16	21.163388342	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x73551f6f	0x73551f6f	1	b8:27:eb:ba:c7:ba		0.0.0.0
17	22.069614323	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x19c6	0x000019c6	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
18	23.163571976	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x7707e814	0x7707e814	1	b8:27:eb:3a:e2:c8		0.0.0.0
19	24.088453476	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x4e85c14	0x04e85c14	1	b8:27:eb:7d:e8:ee		0.0.0.0
20	26.258684487	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x73551f6f	0x73551f6f	1	b8:27:eb:ba:c7:ba		0.0.0.0
21	27.070274048	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x7926	0x00007926	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
22	28.458763204	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x7707e814	0x7707e814	1	b8:27:eb:3a:e2:c8		0.0.0.0
23	29.070565065	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x4e85c14	0x04e85c14	1	b8:27:eb:7d:e8:ee		0.0.0.0
24	32.074511117	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x6af5	0x00006af5	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
25	32.990845947	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x73551f6f	0x73551f6f	1	b8:27:eb:ba:c7:ba		0.0.0.0
26	33.196371577	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x46d6de5c	0x46d6de5c	1	b8:27:eb:ba:c7:ba		0.0.0.0
27	34.432597407	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x9d0e7d7a	0x9d0e7d7a	1	b8:27:eb:3a:e2:c8		0.0.0.0
28	34.891945990	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x4e85c14	0x04e85c14	1	b8:27:eb:7d:e8:ee		0.0.0.0
