frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your	dhcp.option.dhcp_server_id
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x345ea04a	0x345ea04a	1	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0	
2	0.001412903	10.10.0.254	10.10.0.2	DHCP	DHCP Offer    - Transaction ID 0x345ea04a	0x345ea04a	2	b8:27:eb:7d:e8:ee		10.10.0.2	10.10.0.254
3	0.002136309	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x345ea04a	0x345ea04a	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0	10.10.0.254
4	0.009054413	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x345ea04a	0x345ea04a	5	b8:27:eb:7d:e8:ee		10.10.0.2	10.10.0.254
5	0.046574549	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
6	2.046779419	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
7	4.046969814	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
8	5.069732677	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.254						
9	5.069815492	b8:27:eb:7d:e8:ee	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee						
