frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your	dhcp.option.dhcp_server_id
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x69a64329	0x69a64329	1	b8:27:eb:7d:e8:ee	10.10.0.1	0.0.0.0	
2	0.001175399	10.10.0.254	10.10.0.2	DHCP	DHCP Offer    - Transaction ID 0x69a64329	0x69a64329	2	b8:27:eb:7d:e8:ee		10.10.0.2	10.10.0.254
3	0.001529211	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x69a64329	0x69a64329	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0	10.10.0.254
4	0.009056564	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x69a64329	0x69a64329	5	b8:27:eb:7d:e8:ee		10.10.0.2	10.10.0.254
5	0.046757758	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
6	2.046890877	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
7	4.047053519	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2						
8	5.093638927	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.254						
9	5.093721012	b8:27:eb:7d:e8:ee	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee						
