frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
43	1042.187316384	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
44	1044.187499438	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
45	1045.185187292	b8:27:eb:ba:c7:ba	b8:27:eb:3a:e2:c8	ARP	Who has 10.10.0.1? Tell 10.10.0.254					
46	1045.185758745	b8:27:eb:3a:e2:c8	b8:27:eb:ba:c7:ba	ARP	10.10.0.1 is at b8:27:eb:3a:e2:c8					
47	1080.829818540	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
48	1080.829866768	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
49	1140.876254470	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
50	1140.876307855	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
51	1200.922306950	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
52	1200.922378096	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
53	1234.582619604	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x38ee227f	0x38ee227f	1	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
54	1234.582998559	10.10.0.254	10.10.0.2	ICMP	Echo (ping) request  id=0xf598, seq=0/0, ttl=64					
55	1234.584921664	10.10.0.2	10.10.0.254	ICMP	Echo (ping) reply    id=0xf598, seq=0/0, ttl=64 (request in 54)					
56	1234.585044215	b8:27:eb:ba:c7:ba	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
57	1235.585182206	b8:27:eb:ba:c7:ba	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
58	1236.609178448	b8:27:eb:ba:c7:ba	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
59	1237.588922373	10.10.0.254	10.10.0.8	ICMP	Echo (ping) request  id=0x5c39, seq=0/0, ttl=64					
60	1237.589043986	10.10.0.254	10.10.0.8	DHCP	DHCP Offer    - Transaction ID 0x38ee227f	0x38ee227f	2	b8:27:eb:7d:e8:ee		10.10.0.8
61	1237.590005904	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x38ee227f	0x38ee227f	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
62	1237.599940023	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x38ee227f	0x38ee227f	5	b8:27:eb:7d:e8:ee		10.10.0.2
63	1237.637305273	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
64	1237.641049611	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
65	1239.637486466	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
66	1241.637696514	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
67	1242.817176927	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.254					
68	1242.817270364	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
69	1242.817739057	b8:27:eb:7d:e8:ee	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee					
70	1242.818594621	3c:78:95:3e:f4:62	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at 3c:78:95:3e:f4:62					
71	1243.841169264	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
72	1244.865176028	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
73	1260.968690854	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
74	1260.968760072	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
75	1260.969034705	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
76	1321.015004881	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
77	1321.015073995	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
78	1321.015360867	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
79	1343.759192187	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
80	1344.759217026	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
81	1345.759192960	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
82	1346.759189727	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
