frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x45862853	0x45862853	1	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
2	0.001193462	10.10.0.254	10.10.0.8	DHCP	DHCP Offer    - Transaction ID 0x45862853	0x45862853	2	b8:27:eb:7d:e8:ee		10.10.0.8
3	0.001509184	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x45862853	0x45862853	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
4	0.008845945	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x45862853	0x45862853	5	b8:27:eb:7d:e8:ee		10.10.0.2
5	0.044975855	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
6	2.045131742	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
7	2.251353323	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.253					
8	4.045323138	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
